id,amazon_order_id,merchant_order_id,purchase_date,last_updated_date,order_status,fulfillment_channel,sales_channel,order_channel,url,ship_service_level,product_name,sku,asin,item_status,quantity,currency,item_price,item_tax,shipping_price,shipping_tax,gift_wrap_price,gift_wrap_tax,item_promotion_discount,ship_promotion_discount,ship_city,ship_state,ship_postal_code,ship_country,promotion_ids,is_business_order,purchase_order_number,price_designation,buyer_identification_number,buyer_identification_type,created_at
1,S01-5294816-5051909,u5wG00itx8,2026-02-23T17:46:12+00:00,2026-03-01T19:01:54+00:00,Shipped,Amazon,Non-Amazon,,,Standard,-,BUNDLE-CLPS-9,B09L67ZZFR,Unshipped,1,,,,,,,,,,Longueuil,QC,"J4K 4H6",CA,,,,,,,"2026-04-29 11:20:59"
2,S01-2853141-7492355,nMG0JgiuP0,2026-02-16T17:55:17+00:00,2026-02-25T16:30:31+00:00,Shipped,Amazon,Non-Amazon,,,Standard,-,BUNDLE-ROUL-1,B09DLBVY1L,Unshipped,2,,,,,,,,,,Longueuil,QC,"J4K 4H6",CA,,,,,,,"2026-04-29 11:20:59"
3,S01-8578115-3401354,rHtvM3nD7T,2026-02-09T17:31:45+00:00,2026-03-03T00:33:19+00:00,Shipped,Amazon,Non-Amazon,,,Standard,-,BUNBLE-DC-1,B09V5QN8SR,Unshipped,1,,,,,,,,,,Longueuil,QC,"J4K 4H6",CA,,,,,,,"2026-04-29 11:20:59"
4,702-4705604-3489048,702-4705604-3489048,2026-03-01T03:26:51+00:00,2026-03-01T05:01:07+00:00,Shipped,Amazon,Amazon.ca,,,Expedited,"LA PETITE OURSE Cloth Diaper Liners - Canadian Disposable Diaper Liner Rolls - 400 Sheets (4 Rolls x 100) - Biodegradable, Fragrance-Free, Unscented,",BUNDLE-ROUL-1,B09DLBVY1L,Shipped,1,CAD,35.5,1.78,,,,,,,Brampton,Ontario,"L6S 2Y8",CA,,,,,,,"2026-04-29 11:20:59"
5,701-0848741-8160204,701-0848741-8160204,2026-03-01T03:18:18+00:00,2026-03-01T09:31:17+00:00,Shipped,Amazon,Amazon.ca,,,Expedited,"La Petite Ourse Washable Nursing Pads for Breastfeeding - 4-Layer Bamboo and Polyester Reusable Breast Pads Nursing - Ultra-Soft, Thin & Highly Absorb",Nursing-03,B0B42X81PJ,Shipped,1,CAD,26.49,3.44,,,,,,,Ottawa,Ontario,"K2H 6V6",CA,,,,,,,"2026-04-29 11:20:59"
6,702-8069718-7189064,702-8069718-7189064,2026-02-28T19:57:52+00:00,2026-03-01T06:38:42+00:00,Shipped,Amazon,Amazon.ca,,,SecondDay,"LA PETITE OURSE Reusable Swim Diapers - Adjustable, Washable & Leakproof Swimmers - Baby Swimming Diapers for Boys & Girls - Ideal for Swimming Lesson",BUNDLE-3P-L,B0CT2CL5R6,Shipped,1,CAD,45,2.25,,,,,,,Winnipeg,MB,"R2M 0A2",CA,,,,,,,"2026-04-29 11:20:59"
7,701-0946726-2571468,701-0946726-2571468,2026-02-28T19:21:35+00:00,2026-03-01T00:50:48+00:00,Shipped,Amazon,Amazon.ca,,,Expedited,"LA PETITE OURSE Reusable Swim Diapers - Adjustable, Washable & Leakproof Swimmers - Baby Swimming Diapers for Boys & Girls - Ideal for Swimming Lesson",BUNDLE-3P-L,B0CT2CL5R6,Shipped,1,CAD,45,2.25,6.99,,,,,6.99,"Stoney Creek",Ontario,"L8E 0J4",CA,,,,,,,"2026-04-29 11:20:59"
8,702-5504379-9380267,702-5504379-9380267,2026-02-28T18:48:38+00:00,2026-03-01T06:36:13+00:00,Shipped,Amazon,Amazon.ca,,,Expedited,"LA PETITE OURSE 6 One Size Printed Snap Cloth Diaper with 12 4-Layer Premium Bamboo Inserts, for Babies Weighing 10-35 Pounds - Sushi",BUNDLE-6CLPS-1,B09Z6VSHTL,Shipped,1,CAD,95,4.75,,,,,,,Toronto,Ontario,"M6J 2V7",CA,,,,,,,"2026-04-29 11:20:59"
9,702-5617793-5501854,702-5617793-5501854,2026-02-28T18:33:56+00:00,2026-03-02T07:50:55+00:00,Shipped,Amazon,Amazon.ca,,,Standard,"LA PETITE OURSE Cloth Diaper Liners - Canadian Disposable Diaper Liner Rolls - 400 Sheets (4 Rolls x 100) - Biodegradable, Fragrance-Free, Unscented,",BUNDLE-ROUL-1,B09DLBVY1L,Shipped,1,CAD,35.5,4.26,3.92,,,,,3.92,Penticton,"British Columbia","V2A 4N2",CA,,,,,,,"2026-04-29 11:20:59"
10,702-7220403-6030627,702-7220403-6030627,2026-02-28T18:12:56+00:00,2026-03-07T17:38:54+00:00,Shipped,Amazon,Amazon.ca,,,SecondDay,"LA PETITE OURSE Microfiber Cloth Diapers Inserts, 3 Layers High Absorbing Microfiber, Reusable Liners for Cloth Diapers, CPSIA Certified - Pack of 12",BUNDLE-12MFI,B09V5S6K99,Shipped,1,CAD,50,2.5,,,,,,,Gatineau,Quebec,"J9H 5G3",CA,,,,,,,"2026-04-29 11:20:59"
11,702-0708941-7145050,702-0708941-7145050,2026-02-28T18:12:56+00:00,2026-03-07T17:39:55+00:00,Shipped,Amazon,Amazon.ca,,,Expedited,"LA PETITE OURSE Cloth Diaper Liners - Canadian Disposable Diaper Liner Rolls - 400 Sheets (4 Rolls x 100) - Biodegradable, Fragrance-Free, Unscented,",BUNDLE-ROUL-1,B09DLBVY1L,Shipped,1,CAD,35.5,1.78,,,,,,,Gatineau,Quebec,"J9H 5G3",CA,,,,,,,"2026-04-29 11:20:59"
12,701-6035200-9049047,701-6035200-9049047,2026-02-28T13:43:34+00:00,2026-02-28T18:28:10+00:00,Shipped,Amazon,Amazon.ca,,,Expedited,"LA PETITE OURSE Cloth Diaper Liners - Canadian Disposable Diaper Liner Rolls - 400 Sheets (4 Rolls x 100) - Biodegradable, Fragrance-Free, Unscented,",BUNDLE-ROUL-1,B09DLBVY1L,Shipped,1,CAD,35.5,1.78,6.99,,,,,6.99,Cambridge,Ontario,"N1R 0C6",CA,,,,,,,"2026-04-29 11:20:59"
13,702-7982182-1755421,702-7982182-1755421,2026-02-28T12:56:35+00:00,2026-02-28T21:33:43+00:00,Shipped,Amazon,Amazon.ca,,,Expedited,"LA PETITE OURSE Cloth Diaper Liners - Canadian Disposable Diaper Liner Rolls - 400 Sheets (4 Rolls x 100) - Biodegradable, Fragrance-Free, Unscented,",BUNDLE-ROUL-1,B09DLBVY1L,Shipped,1,CAD,35.5,1.78,,,,,,,Brighton,ON,"K0K 1H0",CA,,,,,,,"2026-04-29 11:20:59"
14,702-4209197-5097858,702-4209197-5097858,2026-02-28T06:16:36+00:00,2026-03-03T00:46:57+00:00,Shipped,Amazon,Amazon.ca,,,Standard,"LA PETITE OURSE Cloth Diaper Liners - Canadian Disposable Diaper Liner Rolls - 400 Sheets (4 Rolls x 100) - Biodegradable, Fragrance-Free, Unscented,",BUNDLE-ROUL-1,B09DLBVY1L,Shipped,1,CAD,35.5,4.26,3.92,,,,,3.92,Ucluelet,"British Columbia","V0R 3A0",CA,,,,,,,"2026-04-29 11:20:59"
15,701-3268037-5789865,701-3268037-5789865,2026-02-28T03:51:56+00:00,2026-03-03T05:55:26+00:00,Shipped,Amazon,Amazon.ca,,,Standard,"LA PETITE OURSE Cloth Diaper Liners - Canadian Disposable Diaper Liner Rolls - 400 Sheets (4 Rolls x 100) - Biodegradable, Fragrance-Free, Unscented,",BUNDLE-ROUL-1,B09DLBVY1L,Shipped,1,CAD,35.5,1.78,2.94,,,,,2.94,Quebec,Quebec,"G2K 0N4",CA,,,,,,,"2026-04-29 11:20:59"
16,701-3268037-5789865,701-3268037-5789865,2026-02-28T03:51:56+00:00,2026-03-03T05:55:26+00:00,Shipped,Amazon,Amazon.ca,,,Standard,"LA PETITE OURSE Reusable Swim Diapers - Adjustable, Washable & Leakproof Swimmers - Baby Swimming Diapers for Boys & Girls - Ideal for Swimming Lesson",BUNDLE-3P-M,B0CT2PKTQH,Shipped,1,CAD,45,2.25,2.93,,,,,2.93,Quebec,Quebec,"G2K 0N4",CA,,,,,,,"2026-04-29 11:20:59"
