id,amazon_order_id,merchant_order_id,purchase_date,last_updated_date,order_status,fulfillment_channel,sales_channel,order_channel,url,ship_service_level,product_name,sku,asin,item_status,quantity,currency,item_price,item_tax,shipping_price,shipping_tax,gift_wrap_price,gift_wrap_tax,item_promotion_discount,ship_promotion_discount,ship_city,ship_state,ship_postal_code,ship_country,promotion_ids,is_business_order,purchase_order_number,price_designation,buyer_identification_number,buyer_identification_type,created_at
1,S01-3922364-2379836,dllGYGjsAc,2026-01-29T16:19:49+00:00,2026-03-08T16:59:59+00:00,Shipped,Amazon,Non-Amazon,,,Standard,-,BUNDLE-ROUL-1,B09DLBVY1L,Unshipped,1,,,,,,,,,,Longueuil,QC,"J4K 4H6",CA,,,,,,,"2026-04-29 11:21:26"
2,S01-2889477-6588626,NV3wc3/sGN,2026-01-23T17:48:49+00:00,2026-02-13T16:04:50+00:00,Shipped,Amazon,Non-Amazon,,,Standard,-,Nursing-03,B0B42X81PJ,Unshipped,2,,,,,,,,,,Longueuil,QC,"J4K 4H6",CA,,,,,,,"2026-04-29 11:21:26"
3,S01-8431823-7131635,f6oJSZCVrK,2026-01-16T16:51:32+00:00,2026-01-19T00:28:21+00:00,Shipped,Amazon,Non-Amazon,,,Standard,-,BUNDLE-ROUL-1,B09DLBVY1L,Unshipped,2,,,,,,,,,,Longueuil,QC,"J4K 4H6",CA,,,,,,,"2026-04-29 11:21:26"
4,S01-0953763-1821454,GoGLKPwnYz,2026-01-09T17:09:36+00:00,2026-01-15T01:17:58+00:00,Shipped,Amazon,Non-Amazon,,,Standard,-,BUNDLE-ROUL-1,B09DLBVY1L,Unshipped,1,,,,,,,,,,Longueuil,QC,"J4K 4H6",CA,,,,,,,"2026-04-29 11:21:26"
5,701-0108774-4083463,701-0108774-4083463,2026-02-01T04:30:59+00:00,2026-02-03T22:45:49+00:00,Shipped,Amazon,Amazon.ca,,,Standard,"LA PETITE OURSE Cloth Diaper Liners - Canadian Disposable Diaper Liner Rolls - 400 Sheets (4 Rolls x 100) - Biodegradable, Fragrance-Free, Unscented,",BUNDLE-ROUL-1,B09DLBVY1L,Shipped,1,CAD,35.5,1.78,3.92,,,,,3.92,Boucherville,Quebec,"J4B 1Y8",CA,,,,,,,"2026-04-29 11:21:26"
6,701-1281704-5287469,701-1281704-5287469,2026-02-01T02:44:46+00:00,2026-02-03T07:03:46+00:00,Shipped,Amazon,Amazon.ca,,,SecondDay,"LA PETITE OURSE Baby Burp Cloths - Premium Absorbent Triple Layer - Superior Absorbency for Baby Reflux - Muslin Cotton and Microfiber Layers - 18.89""",LAN-RUSTI,B0CXF29HSR,Shipped,1,CAD,29.99,3.9,,,,,,,Palgrave,Ontario,"L0N 1P0",CA,,,,,,,"2026-04-29 11:21:26"
7,701-5318596-6155405,701-5318596-6155405,2026-02-01T02:36:37+00:00,2026-02-02T02:40:18+00:00,Shipped,Amazon,Amazon.ca,,,SecondDay,"LA PETITE OURSE Cloth Diaper Liners - Canadian Disposable Diaper Liner Rolls - 400 Sheets (4 Rolls x 100) - Biodegradable, Fragrance-Free, Unscented,",BUNDLE-ROUL-1,B09DLBVY1L,Shipped,1,CAD,35.5,1.6,,,,,3.55,,Granby,Quebec,"J2G 6L7",CA,"Subscribe and Save Promotion V2",,,,,,"2026-04-29 11:21:26"
8,701-0961790-6967438,701-0961790-6967438,2026-02-01T02:19:44+00:00,2026-02-01T02:23:14+00:00,Cancelled,Amazon,Amazon.ca,,,SecondDay,"LA PETITE OURSE Baby Burp Cloths - Premium Absorbent Triple Layer - Superior Absorbency for Baby Reflux - Muslin Cotton and Microfiber Layers - 18.89""",LAN-RUSTI,B0CXF29HSR,Cancelled,0,,,,,,,,,,Palgrave,Ontario,"L0N 1P0",CA,,,,,,,"2026-04-29 11:21:26"
9,702-1570414-4031441,702-1570414-4031441,2026-02-01T01:20:39+00:00,2026-02-02T03:34:48+00:00,Shipped,Amazon,Amazon.ca,,,SecondDay,"LA PETITE OURSE Cloth Diaper Liners - Canadian Disposable Diaper Liner Rolls - 400 Sheets (4 Rolls x 100) - Biodegradable, Fragrance-Free, Unscented,",BUNDLE-ROUL-1,B09DLBVY1L,Shipped,1,CAD,35.5,1.78,,,,,,,Saint-Jérôme,Québec,"J7Y 4X9",CA,,,,,,,"2026-04-29 11:21:26"
10,702-6936322-8748236,702-6936322-8748236,2026-01-31T23:43:38+00:00,2026-02-02T02:57:03+00:00,Shipped,Amazon,Amazon.ca,,,SecondDay,"LA PETITE OURSE Cloth Diaper Liners - Canadian Disposable Diaper Liner Rolls - 400 Sheets (4 Rolls x 100) - Biodegradable, Fragrance-Free, Unscented,",BUNDLE-ROUL-1,B09DLBVY1L,Shipped,1,CAD,35.5,1.78,,,,,,,Baie-Comeau,Québec,"G4Z 2T9",CA,,,,,,,"2026-04-29 11:21:26"
