id,amazon_order_id,merchant_order_id,purchase_date,last_updated_date,order_status,fulfillment_channel,sales_channel,order_channel,url,ship_service_level,product_name,sku,asin,item_status,quantity,currency,item_price,item_tax,shipping_price,shipping_tax,gift_wrap_price,gift_wrap_tax,item_promotion_discount,ship_promotion_discount,ship_city,ship_state,ship_postal_code,ship_country,promotion_ids,is_business_order,purchase_order_number,price_designation,buyer_identification_number,buyer_identification_type,created_at
1,S01-4126269-7143841,EqBAXxxka1,2026-03-29T15:21:26+00:00,2026-04-01T18:51:28+00:00,Shipped,Amazon,Non-Amazon,,,Standard,-,BUNDLE-ROUL-1,B09DLBVY1L,Unshipped,1,,,,,,,,,,Longueuil,QC,"J4K 4H6",CA,,,,,,,"2026-04-29 11:21:36"
2,S01-5516066-7634436,loLl+sGuSn,2026-03-16T14:40:06+00:00,2026-04-02T18:07:51+00:00,Shipped,Amazon,Non-Amazon,,,Standard,-,KIT-HIPPIE,B0B42MWCF4,Unshipped,1,,,,,,,,,,Longueuil,QC,"J4K 4H6",CA,,,,,,,"2026-04-29 11:21:36"
3,S01-6950416-9106432,6ETMmWlnRP,2026-03-09T15:58:30+00:00,2026-03-23T13:04:19+00:00,Shipped,Amazon,Non-Amazon,,,Standard,-,BUNDLE-CLPS-2,B09DLF3KVJ,Unshipped,1,,,,,,,,,,Longueuil,QC,"J4K 4H6",CA,,,,,,,"2026-04-29 11:21:36"
4,S01-5445114-1640757,QZvfIwWjpC,2026-03-01T17:56:08+00:00,2026-03-14T17:42:32+00:00,Shipped,Amazon,Non-Amazon,,,Standard,-,BUNDLE-ROUL-1,B09DLBVY1L,Unshipped,2,,,,,,,,,,Longueuil,QC,"J4K 4H6",CA,,,,,,,"2026-04-29 11:21:36"
5,702-5143437-7601816,702-5143437-7601816,2026-04-01T02:51:38+00:00,2026-04-05T19:03:11+00:00,Shipped,Amazon,Amazon.ca,,,SecondDay,"LA PETITE OURSE 10 One Size Printed Snap Cloth Diaper With 20 4-Layer Premium Bamboo Inserts, for Babies Weighing 10-35 Pounds - Beach",BUNDLE-10CLPS-2,B09XJ5KCV8,Shipped,1,CAD,135,6.75,,,,,,,St-Onesime,Quebec,"G0R 3W0",CA,,,,,,,"2026-04-29 11:21:37"
6,702-5217500-8001867,702-5217500-8001867,2026-04-01T02:39:08+00:00,2026-04-01T19:26:17+00:00,Shipped,Amazon,Amazon.ca,,,SecondDay,"LA PETITE OURSE Wet Dry Bags with Zipper Closure and Hanging Strip, Washable, Reusable, Waterproof, for Swimming Suit, Baby Cloth Diapers, Beach, Pool",BUNDLE-WDRB-4,B0BPP2HC5H,Shipped,1,CAD,27.99,3.64,,,,,,,Stittsville,Ontario,"K2S 0B4",CA,,,,,,,"2026-04-29 11:21:37"
7,701-6648970-5597040,701-6648970-5597040,2026-04-01T01:53:55+00:00,2026-04-22T09:46:02+00:00,Cancelled,Amazon,Amazon.ca,,www.amazon.ca,Standard,"LA PETITE OURSE 10 One Size Animal Printed Snap Cloth Diaper With 20 4-Layer Premium Bamboo Inserts, for Babies Weighing 10-35 Pounds",BUNDLE-10CLPS,B09RPVGZWS,Cancelled,0,,,,,,,,,,Shawinigan,Québec,"G0X 1L0",CA,,,,,,,"2026-04-29 11:21:37"
8,702-0806241-5369857,702-0806241-5369857,2026-04-01T01:46:03+00:00,2026-04-01T09:18:59+00:00,Shipped,Amazon,Amazon.ca,,,Expedited,"La Petite Ourse Washable Nursing Pads for Breastfeeding - 4-Layer Bamboo and Polyester Reusable Breast Pads Nursing - Ultra-Soft, Thin & Highly Absorb",Nursing-04,B0B42T63SY,Shipped,1,CAD,26.49,3.44,,,,,,,Toronto,Ontario,"M6G 2C2",CA,,,,,,,"2026-04-29 11:21:37"
9,702-9378124-1973060,702-9378124-1973060,2026-04-01T01:30:49+00:00,2026-04-02T00:04:23+00:00,Shipped,Amazon,Amazon.ca,,,Standard,"LA PETITE OURSE One Size Reusable Swim Diapers - Adjustable, Washable & Leakproof - Baby Swimming Diapers for Boys & Girls (15-35 lb) - Ideal for Swim",BUNDLE-3P-M,B0CT2PKTQH,Shipped,1,CAD,39,1.95,5.9,,,,,5.9,Winnipeg,Manitoba,"R3J 2J5",CA,,,,,,,"2026-04-29 11:21:37"
10,701-4555627-2253813,701-4555627-2253813,2026-04-01T00:36:51+00:00,2026-04-20T15:02:26+00:00,Shipped,Amazon,Amazon.ca,,,Standard,"LA PETITE OURSE Wet Dry Bags with Zipper Closure and Hanging Strip, Washable, Reusable, Waterproof, for Swimming Suit, Baby Cloth Diapers, Beach, Pool",BUNDLE-WDRB-4,B0BPP2HC5H,Shipped,1,CAD,27.99,3.64,2.34,,,,,2.34,Dundalk,Ontario,"N0C 1B0",CA,,,,,,,"2026-04-29 11:21:37"
