Date,Ordered Product Sales,Ordered Product Sales - B2B,Units ordered,Units ordered – B2B,Total order items,Total order items – B2B,Average sales per order item,Average Sales per Order Item - B2B,Average Units per Order Item,Average Units per Order Item - B2B,Average Selling Price,Average selling price – B2B,Page views – Mobile app,Page views – Mobile app – B2B,Page views – Browser,Page Views - Browser - B2B,Page views – Total,Page Views - Total - B2B,Sessions – Mobile app,Sessions – Mobile app – B2B,Sessions - Browser,Sessions - Browser - B2B,Sessions – Total,Sessions - Total - B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) Percentage - B2B,Order Item Session Percentage,Order Item Session Percentage - B2B,Unit Session Percentage,Unit session percentage – B2B,Average Offer Count,Average Parent Items,Units Refunded,Units Refunded - B2B,Refund rate,Refund Rate - B2B,Feedback Received,Feedback Received - B2B,Negative feedback received,Negative Feedback Received - B2B,Received Negative Feedback Rate,Received Negative Feedback Rate - B2B,A-to-z Claims Granted,Claims amount,A-to-z claims granted – B2B,Claims amount – B2B,Shipped product sales,Shipped Product Sales - B2B,Units shipped,Units Shipped - B2B,Orders shipped,Orders Shipped - B2B
2026-01-01,$462.98,$0.00,11,0,11,0,$42.09,$0.00,1.00,0.00,$42.09,$0.00,154,0,100,2,254,2,112,0,69,1,181,1,100.00%,100.00%,6.08%,0.00%,6.08%,0.00%,32,22,0,0,0.00%,0.00%,0,0,0,0,0.00%,0.00%,0,$0.00,0,$0.00,$131.49,$0.00,4,0,4,0
2026-01-02,$647.50,$0.00,14,0,13,0,$49.81,$0.00,1.08,0.00,$46.25,$0.00,115,1,143,6,258,7,78,1,101,6,179,7,100.00%,100.00%,7.26%,0.00%,7.82%,0.00%,31,22,0,0,0.00%,0.00%,0,0,0,0,0.00%,0.00%,0,$0.00,0,$0.00,$649.00,$0.00,14,0,14,0
2026-01-03,$643.47,$0.00,14,0,14,0,$45.96,$0.00,1.00,0.00,$45.96,$0.00,155,0,108,0,263,0,114,0,87,0,201,0,99.59%,0.00%,6.97%,0.00%,6.97%,0.00%,30,22,0,0,0.00%,0.00%,0,0,0,0,0.00%,0.00%,0,$0.00,0,$0.00,$593.00,$0.00,14,0,14,0
2026-01-04,$451.49,$0.00,12,0,12,0,$37.62,$0.00,1.00,0.00,$37.62,$0.00,213,5,139,0,352,5,135,2,107,0,242,2,100.00%,100.00%,4.96%,0.00%,4.96%,0.00%,30,22,0,0,0.00%,0.00%,1,0,0,0,0.00%,0.00%,0,$0.00,0,$0.00,$914.96,$0.00,17,0,17,0
2026-01-05,$770.48,$0.00,12,0,11,0,$70.04,$0.00,1.09,0.00,$64.21,$0.00,211,3,93,0,304,3,132,1,75,0,207,1,100.00%,0.00%,5.31%,0.00%,5.80%,0.00%,31,22,2,0,16.67%,0.00%,0,0,0,0,0.00%,0.00%,0,$0.00,0,$0.00,$488.47,$0.00,12,0,11,0
2026-01-06,$331.49,$0.00,8,0,8,0,$41.44,$0.00,1.00,0.00,$41.44,$0.00,150,1,100,0,250,1,108,1,59,0,167,1,100.00%,0.00%,4.79%,0.00%,4.79%,0.00%,30,22,0,0,0.00%,0.00%,0,0,0,0,0.00%,0.00%,0,$0.00,0,$0.00,$533.50,$0.00,10,0,10,0
2026-01-07,$409.49,$35.50,8,1,8,1,$51.19,$35.50,1.00,1.00,$51.19,$35.50,165,7,82,1,247,8,106,3,57,1,163,4,98.21%,100.00%,4.91%,25.00%,4.91%,25.00%,30,23,3,0,37.50%,0.00%,0,0,0,0,0.00%,0.00%,0,$0.00,0,$0.00,$481.98,$0.00,8,0,8,0
2026-01-08,$697.99,$0.00,14,0,13,0,$53.69,$0.00,1.08,0.00,$49.86,$0.00,135,2,85,1,220,3,105,2,64,1,169,3,100.00%,0.00%,7.69%,0.00%,8.28%,0.00%,30,23,0,0,0.00%,0.00%,0,0,0,0,0.00%,0.00%,0,$0.00,0,$0.00,$466.49,$0.00,12,0,12,0
2026-01-09,$725.98,$0.00,10,0,9,0,$80.66,$0.00,1.11,0.00,$72.60,$0.00,157,0,85,4,242,4,99,0,64,2,163,2,100.00%,100.00%,5.52%,0.00%,6.13%,0.00%,29,22,0,0,0.00%,0.00%,0,0,0,0,0.00%,0.00%,0,$0.00,0,$0.00,$445.00,$0.00,12,0,12,0
2026-01-10,$482.96,$0.00,14,0,13,0,$37.15,$0.00,1.08,0.00,$34.50,$0.00,138,3,99,0,237,3,104,3,69,0,173,3,99.11%,100.00%,7.51%,0.00%,8.09%,0.00%,29,22,1,0,7.14%,0.00%,0,0,0,0,0.00%,0.00%,0,$0.00,0,$0.00,$638.48,$35.50,11,1,11,1
2026-01-11,$387.50,$0.00,11,0,10,0,$38.75,$0.00,1.10,0.00,$35.23,$0.00,124,0,100,3,224,3,94,0,73,2,167,2,100.00%,100.00%,5.99%,0.00%,6.59%,0.00%,29,22,1,0,9.09%,0.00%,0,0,0,0,0.00%,0.00%,0,$0.00,0,$0.00,$912.97,$0.00,15,0,15,0
2026-01-12,$501.50,$0.00,9,0,9,0,$55.72,$0.00,1.00,0.00,$55.72,$0.00,150,4,102,1,252,5,107,3,77,1,184,4,100.00%,100.00%,4.89%,0.00%,4.89%,0.00%,29,22,0,0,0.00%,0.00%,0,0,0,0,0.00%,0.00%,0,$0.00,0,$0.00,$316.50,$0.00,8,0,8,0
2026-01-13,$519.00,$0.00,11,0,11,0,$47.18,$0.00,1.00,0.00,$47.18,$0.00,188,0,133,0,321,0,112,0,85,0,197,0,100.00%,0.00%,5.58%,0.00%,5.58%,0.00%,29,22,3,0,27.27%,0.00%,0,0,0,0,0.00%,0.00%,0,$0.00,0,$0.00,$629.49,$0.00,12,0,12,0
2026-01-14,$308.49,$0.00,6,0,6,0,$51.42,$0.00,1.00,0.00,$51.42,$0.00,135,0,96,5,231,5,96,0,71,2,167,2,100.00%,100.00%,3.59%,0.00%,3.59%,0.00%,29,22,0,0,0.00%,0.00%,0,0,0,0,0.00%,0.00%,0,$0.00,0,$0.00,$177.50,$0.00,5,0,5,0
2026-01-15,$403.00,$0.00,8,0,8,0,$50.38,$0.00,1.00,0.00,$50.38,$0.00,142,0,88,0,230,0,99,0,66,0,165,0,100.00%,0.00%,4.85%,0.00%,4.85%,0.00%,29,22,0,0,0.00%,0.00%,0,0,0,0,0.00%,0.00%,0,$0.00,0,$0.00,$469.99,$0.00,11,0,11,0
2026-01-16,$631.00,$0.00,16,0,16,0,$39.44,$0.00,1.00,0.00,$39.44,$0.00,155,0,175,5,330,5,112,0,107,3,219,3,100.00%,100.00%,7.31%,0.00%,7.31%,0.00%,29,22,0,0,0.00%,0.00%,0,0,0,0,0.00%,0.00%,0,$0.00,0,$0.00,$543.00,$0.00,9,0,9,0
2026-01-17,$213.00,$0.00,6,0,6,0,$35.50,$0.00,1.00,0.00,$35.50,$0.00,154,13,93,0,247,13,110,9,63,0,173,9,99.56%,100.00%,3.47%,0.00%,3.47%,0.00%,29,22,0,0,0.00%,0.00%,0,0,0,0,0.00%,0.00%,0,$0.00,0,$0.00,$490.00,$0.00,13,0,13,0
2026-01-18,$283.00,$0.00,7,0,7,0,$40.43,$0.00,1.00,0.00,$40.43,$0.00,131,0,128,0,259,0,96,0,96,0,192,0,100.00%,0.00%,3.65%,0.00%,3.65%,0.00%,29,22,0,0,0.00%,0.00%,0,0,0,0,0.00%,0.00%,0,$0.00,0,$0.00,$319.50,$0.00,9,0,8,0
2026-01-19,$354.00,$0.00,9,0,8,0,$44.25,$0.00,1.12,0.00,$39.33,$0.00,136,8,115,0,251,8,103,7,85,0,188,7,99.57%,100.00%,4.26%,0.00%,4.79%,0.00%,29,22,1,0,11.11%,0.00%,0,0,0,0,0.00%,0.00%,0,$0.00,0,$0.00,$354.00,$0.00,9,0,9,0
2026-01-20,$297.99,$0.00,8,0,8,0,$37.25,$0.00,1.00,0.00,$37.25,$0.00,148,0,89,3,237,3,103,0,68,1,171,1,100.00%,100.00%,4.68%,0.00%,4.68%,0.00%,29,22,0,0,0.00%,0.00%,0,0,0,0,0.00%,0.00%,0,$0.00,0,$0.00,$383.99,$0.00,10,0,9,0
2026-01-21,$406.49,$0.00,8,0,8,0,$50.81,$0.00,1.00,0.00,$50.81,$0.00,96,0,118,0,214,0,75,0,85,0,160,0,100.00%,0.00%,5.00%,0.00%,5.00%,0.00%,29,22,0,0,0.00%,0.00%,0,0,0,0,0.00%,0.00%,0,$0.00,0,$0.00,$161.50,$0.00,4,0,4,0
2026-01-22,$921.50,$0.00,15,0,13,0,$70.88,$0.00,1.15,0.00,$61.43,$0.00,240,0,107,0,347,0,139,0,83,0,222,0,100.00%,0.00%,5.86%,0.00%,6.76%,0.00%,29,22,1,0,6.67%,0.00%,0,0,0,0,0.00%,0.00%,0,$0.00,0,$0.00,$943.49,$0.00,15,0,15,0
2026-01-23,$626.50,$0.00,12,0,12,0,$52.21,$0.00,1.00,0.00,$52.21,$0.00,158,2,128,1,286,3,117,2,91,1,208,3,100.00%,0.00%,5.77%,0.00%,5.77%,0.00%,29,22,1,0,8.33%,0.00%,0,0,0,0,0.00%,0.00%,0,$0.00,0,$0.00,$632.00,$0.00,14,0,12,0
2026-01-24,$582.00,$0.00,11,0,11,0,$52.91,$0.00,1.00,0.00,$52.91,$0.00,124,0,103,0,227,0,94,0,81,0,175,0,99.03%,0.00%,6.29%,0.00%,6.29%,0.00%,29,22,1,0,9.09%,0.00%,0,0,0,0,0.00%,0.00%,0,$0.00,0,$0.00,$596.00,$0.00,10,0,10,0
