(Parent) ASIN,(Child) ASIN,Title,Sessions – Mobile app,Sessions – Mobile app – B2B,Sessions - Browser,Sessions - Browser - B2B,Sessions – Total,Sessions - Total - B2B,Session Percentage - Mobile App,Session Percentage - Mobile APP - B2B,Session percentage – Browser,Session percentage – Browser – B2B,Session Percentage - Total,Session percentage – Total – B2B,Page views – Mobile app,Page views – Mobile app – B2B,Page views – Browser,Page Views - Browser - B2B,Page views – Total,Page Views - Total - B2B,Page Views Percentage - Mobile App,Page views percentage – Mobile app – B2B,Page views percentage – Browser,Page views percentage – Browser – B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) Percentage - B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total order items,Total order items – B2B,Units Refunded,Units Refunded - B2B,Refund rate,Refund Rate - B2B,Shipped product sales,Shipped Product Sales - B2B,Units shipped,Units Shipped - B2B,Orders shipped,Orders Shipped - B2B
B09DLBVY1L,B09DLBVY1L,"LA PETITE OURSE Cloth Diaper Liners – Canadian Disposable Diaper Liner Rolls – 400 Sheets (4 Rolls x 100) – Biodegradable, Fragrance-Free, Unscented, Chlorine-Free, 100% Viscose – 11.5 x 6.75 in",758,11,501,7,"1,259",18,22.80%,26.83%,20.27%,30.43%,21.72%,28.13%,"1,035",18,661,13,"1,696",31,21.73%,32.14%,19.22%,36.11%,20.68%,33.70%,99.80%,100.00%,214,1,17.00%,5.56%,"$7,597.00",$35.50,207,1,4,0,1.87%,0.00%,"$7,384.00",$35.50,208,1,204,1
B0BPH6FHPD,B0CHY8LK86,"LA PETITE OURSE 10 One Size Printed Snap Cloth Diaper With 20 4-Layer Premium Bamboo Inserts, for Babies Weighing 10–35 Pounds - Black and White",318,2,271,1,589,3,9.56%,4.88%,10.96%,4.35%,10.16%,4.69%,542,2,483,1,"1,025",3,11.38%,3.57%,14.04%,2.78%,12.50%,3.26%,98.79%,100.00%,15,0,2.55%,0.00%,"$2,550.00",$0.00,14,0,1,0,6.67%,0.00%,"$2,720.00",$0.00,16,0,16,0
B0BGP66BT4,B09V5TT21Q,"LA PETITE OURSE Wet Dry Bags with Zipper Closure and Hanging Strip, Washable, Reusable, Waterproof, for Swimming Suit, Baby Cloth Diapers, Beach, Pool, Travel, Gym, Daycare, Black - Pack of 3",163,1,137,3,300,4,4.90%,2.44%,5.54%,13.04%,5.18%,6.25%,257,1,201,5,458,6,5.40%,1.79%,5.84%,13.89%,5.58%,6.52%,100.00%,100.00%,11,0,3.67%,0.00%,$374.00,$0.00,11,0,0,0,0.00%,0.00%,$374.00,$0.00,11,0,11,0
B094X3FNJX,B0B42MWCF4,LA PETITE OURSE 2 One Size Snap Diapers with 4 Bamboo Inserts - Cloth Diapers for Babies - 100 Sheets (Diaper Liner Roll) + 1 Wet Dry Bag - for Babies Weighing 10–35 Pounds - Hippie,103,2,71,0,174,2,3.10%,4.88%,2.87%,0.00%,3.00%,3.13%,170,2,96,0,266,2,3.57%,3.57%,2.79%,0.00%,3.24%,2.17%,97.59%,100.00%,10,0,5.75%,0.00%,$450.00,$0.00,10,0,2,0,20.00%,0.00%,$450.00,$0.00,10,0,10,0
B0CYTCP2H1,B0F2YGK3X5,"Premium Cotton Towel Set – Lightweight, Quick-Dry, Highly Absorbent Hand Towels - Gym Towels Set – 13.75” x 29.5” – Luxury Towels for Bathroom, Gym, Hotel & Spa - Pack of 3",60,0,39,0,99,0,1.80%,0.00%,1.58%,0.00%,1.71%,0.00%,78,0,46,0,124,0,1.64%,0.00%,1.34%,0.00%,1.51%,0.00%,100.00%,0.00%,11,0,11.11%,0.00%,$274.89,$0.00,10,0,0,0,0.00%,0.00%,$274.89,$0.00,11,0,10,0
B09V5QN8SR,B09V5QN8SR,"LA PETITE OURSE 6 One Size Printed Snap Cloth Diaper Cover, CPSIA Certified, for Babies Weighing 10 Pounds - Animal",310,3,317,2,627,5,9.32%,7.32%,12.82%,8.70%,10.82%,7.81%,432,7,420,2,852,9,9.07%,12.50%,12.21%,5.56%,10.39%,9.78%,99.62%,100.00%,9,0,1.44%,0.00%,$495.00,$0.00,9,0,1,0,11.11%,0.00%,$495.00,$0.00,9,0,9,0
B0CY2H2HNK,B0CXDXWG6L,LA PETITE OURSE Baby Bibs with Sleeves – 2-Pack Long Sleeve Bibs for 6-12 Months – Adjustable Fit with Snaps – Lightweight & Water-Resistant PUL – Canadian Brand – Made from Recycled Materials (Peche),113,2,84,1,197,3,3.40%,4.88%,3.40%,4.35%,3.40%,4.69%,155,2,113,1,268,3,3.25%,3.57%,3.28%,2.78%,3.27%,3.26%,100.00%,100.00%,9,0,4.57%,0.00%,$270.00,$0.00,9,0,0,0,0.00%,0.00%,$270.00,$0.00,9,0,9,0
B09DHFX4PT,B09L67ZZFR,"LA PETITE OURSE 4 One Size Printed Snap Cloth Diaper with 8 4-Layer Premium Bamboo Inserts + 1 Free Wet Bag, for Babies Weighing 10–35 Pounds - Constellation",89,3,68,0,157,3,2.68%,7.32%,2.75%,0.00%,2.71%,4.69%,111,4,91,0,202,4,2.33%,7.14%,2.65%,0.00%,2.46%,4.35%,100.00%,100.00%,9,0,5.73%,0.00%,$630.00,$0.00,8,0,0,0,0.00%,0.00%,$630.00,$0.00,9,0,9,0
B09V5TR4YL,B09V5S6K99,"LA PETITE OURSE Microfiber Cloth Diapers Inserts, 3 Layers High Absorbing Microfiber, Reusable Liners for Cloth Diapers, CPSIA Certified - Pack of 12",121,0,73,1,194,1,3.64%,0.00%,2.95%,4.35%,3.35%,1.56%,179,0,94,1,273,1,3.76%,0.00%,2.73%,2.78%,3.33%,1.09%,99.28%,0.00%,10,0,5.15%,0.00%,$500.00,$0.00,8,0,2,0,20.00%,0.00%,$550.00,$0.00,11,0,9,0
B09DHFX4PT,B09NMMQQQN,"4 One Size Printed Snap Cloth Diaper With 8 4-Layer Premium Bamboo Inserts + 1 Free Wet Bag, for Babies Weighing 10–35 Pounds - (Adventure)",174,1,88,2,262,3,5.23%,2.44%,3.56%,8.70%,4.52%,4.69%,221,1,118,2,339,3,4.64%,1.79%,3.43%,5.56%,4.13%,3.26%,99.37%,100.00%,7,0,2.67%,0.00%,$490.00,$0.00,7,0,0,0,0.00%,0.00%,$420.00,$0.00,6,0,6,0
