date/time,settlement id,type,order id,sku,description,quantity,marketplace,fulfillment,order city,order state,order postal,tax collection model,product sales,cogs,product sales tax,shipping credits,shipping credits tax,gift wrap credits,gift wrap credits tax,Regulatory fee,Tax on regulatory fee,promotional rebates,promotional rebates tax,marketplace withheld tax,selling fees,fba fees,other transaction fees,other,total,Transaction status,Transaction Release Date
"Jan 2, 2026 3:06:50 a.m. PST",25325771691,Order,701-5427117-3339452,BUNBLE-DC-1,"LA PETITE OURSE 6 One Size Printed Snap Cloth Diaper Cover, CPSIA Certified, for Babies Weighing 10 Pounds - Animal",1,amazon.ca,Amazon,Vancouver,BC,V5S 3V,Combined TCS+MTC,55,18.24,2.75,6.99,0,0,0,0,0,-6.99,0,-2.75,-8.25,-9.62,0,0,37.13,Released,"Jan 9, 2026 7:27:29 a.m. PST"
"Jan 3, 2026 5:20:40 p.m. PST",25325771691,Order,702-7498749-8241815,BUNBLE-DC-1,"LA PETITE OURSE 6 One Size Printed Snap Cloth Diaper Cover, CPSIA Certified, for Babies Weighing 10 Pounds - Animal",1,amazon.ca,Amazon,Yellowknife,Northwest Territories,X1A 0B,Combined TCS+MTC,55,18.24,2.75,0,0,0,0,0,0,0,0,-2.75,-8.25,-8.99,0,0,37.76,Released,"Jan 15, 2026 7:30:57 a.m. PST"
"Jan 7, 2026 2:08:33 a.m. PST",25431919491,Order,701-3784400-5328242,BUNBLE-DC-1,"LA PETITE OURSE 6 One Size Printed Snap Cloth Diaper Cover, CPSIA Certified, for Babies Weighing 10 Pounds - Animal",1,amazon.ca,Amazon,East Gwillimbury,Ontario,L9N 0N,Combined TCS+MTC,55,18.24,2.75,0,0,0,0,0,0,0,0,-2.75,-8.25,-8.99,0,0,37.76,Released,"Jan 16, 2026 2:43:50 a.m. PST"
"Jan 12, 2026 6:04:13 p.m. PST",25431919491,Order,701-5627003-4984251,BUNBLE-DC-1,"LA PETITE OURSE 6 One Size Printed Snap Cloth Diaper Cover, CPSIA Certified, for Babies Weighing 10 Pounds - Animal",1,amazon.ca,Amazon,Etobicoke,Ontario,M9B 2W,Combined TCS+MTC,55,18.24,2.75,0,0,0,0,0,0,0,0,-2.75,-8.25,-8.99,0,0,37.76,Released,"Jan 21, 2026 3:27:25 p.m. PST"
"Jan 21, 2026 12:45:49 p.m. PST",25544384651,Order,701-9968425-9639400,BUNBLE-DC-1,"LA PETITE OURSE 6 One Size Printed Snap Cloth Diaper Cover, CPSIA Certified, for Babies Weighing 10 Pounds - Animal",1,amazon.ca,Amazon,Rouyn-Noranda,Quebec,J0Z 1K,Combined TCS+MTC,55,18.24,2.75,3.26,0,0,0,0,0,-3.26,0,-2.75,-8.25,-8.49,0,0,38.26,Released,"Feb 3, 2026 6:52:09 a.m. PST"
"Jan 22, 2026 11:33:22 p.m. PST",25544384651,Order,702-0448795-8434609,BUNBLE-DC-1,"LA PETITE OURSE 6 One Size Printed Snap Cloth Diaper Cover, CPSIA Certified, for Babies Weighing 10 Pounds - Animal",1,amazon.ca,Amazon,Burlington,Ontario,L7P 2B,Combined TCS+MTC,55,18.24,2.75,6.99,0,0,0,0,0,-6.99,0,-2.75,-8.25,-8.49,0,0,38.26,Released,"Jan 30, 2026 5:55:14 a.m. PST"
"Jan 27, 2026 2:17:42 p.m. PST",25544384651,Order,702-4163099-8440220,BUNBLE-DC-1,"LA PETITE OURSE 6 One Size Printed Snap Cloth Diaper Cover, CPSIA Certified, for Babies Weighing 10 Pounds - Animal",1,amazon.ca,Amazon,Hornby Island,British Columbia,V0R 1Z,Combined TCS+MTC,55,18.24,2.75,0,0,0,0,0,0,0,0,-2.75,-8.25,-9.08,0,0,37.67,Released,"Feb 5, 2026 7:19:58 a.m. PST"
"Jan 28, 2026 8:23:00 a.m. PST",25431919491,Refund,702-7498749-8241815,BUNBLE-DC-1,"LA PETITE OURSE 6 One Size Printed Snap Cloth Diaper Cover, CPSIA Certified, for Babies Weighing 10 Pounds - Animal",1,amazon.ca,Amazon,Yellowknife,Northwest Territories,X1A 0B,Combined TCS+MTC,-55,,-2.75,0,0,0,0,0,0,0,0,2.75,6.6,0,0,0,-48.4,Released,"Jan 28, 2026 8:23:00 a.m. PST"
"Jan 29, 2026 2:17:06 p.m. PST",25544384651,Order,701-4893529-6776215,BUNBLE-DC-1,"LA PETITE OURSE 6 One Size Printed Snap Cloth Diaper Cover, CPSIA Certified, for Babies Weighing 10 Pounds - Animal",1,amazon.ca,Amazon,Fitzroy Harbour,Ontario,K0A 1X,Combined TCS+MTC,55,18.24,2.75,0,0,0,0,0,0,0,0,-2.75,-8.25,-8.49,0,0,38.26,Released,"Feb 7, 2026 2:42:56 a.m. PST"
"Jan 30, 2026 10:25:58 a.m. PST",25544384651,Order,701-2316168-1418632,BUNBLE-DC-1,"LA PETITE OURSE 6 One Size Printed Snap Cloth Diaper Cover, CPSIA Certified, for Babies Weighing 10 Pounds - Animal",1,amazon.ca,Amazon,Aulac,New Brunswick,E4L 2M,Combined TCS+MTC,55,18.24,8.25,2.74,0,0,0,0,0,-2.74,0,-8.25,-8.25,-8.49,0,0,38.26,Released,"Feb 8, 2026 3:55:46 a.m. PST"
"Jan 4, 2026 6:27:57 p.m. PST",25325771691,Order,701-6864656-6489833,BUNDLE-10RS-5,"LA PETITE OURSE 10 One Size Printed Snap Cloth Diaper With 20 4-Layer Premium Bamboo Inserts, for Babies Weighing 10-35 Pounds - Black and White",1,amazon.ca,Amazon,Corman Park 344,Saskatchewan,S0K 1E,Combined TCS+MTC,170,60,8.5,3.27,0,0,0,0,0,-3.27,0,-8.5,-25.5,-13.07,0,0,131.43,Released,"Jan 13, 2026 5:28:57 a.m. PST"
"Jan 6, 2026 7:29:53 a.m. PST",25431919491,Order,701-3838692-1958656,BUNDLE-10RS-5,"LA PETITE OURSE 10 One Size Printed Snap Cloth Diaper With 20 4-Layer Premium Bamboo Inserts, for Babies Weighing 10-35 Pounds - Black and White",1,amazon.ca,Amazon,victoria,British Columbia,V8Y 2Y,Combined TCS+MTC,170,60,8.5,0,0,0,0,0,0,0,0,-8.5,-25.5,-13.07,0,0,131.43,Released,"Jan 16, 2026 3:58:15 a.m. PST"
"Jan 7, 2026 4:58:51 p.m. PST",25431919491,Order,702-4259260-5365059,BUNDLE-10RS-5,"LA PETITE OURSE 10 One Size Printed Snap Cloth Diaper With 20 4-Layer Premium Bamboo Inserts, for Babies Weighing 10-35 Pounds - Black and White",1,amazon.ca,Amazon,Regina,Saskatchewan,S4S 3V,Combined TCS+MTC,170,60,8.5,0,0,0,0,0,0,0,0,-8.5,-25.5,-13.07,0,0,131.43,Released,"Jan 15, 2026 2:53:05 p.m. PST"
"Jan 10, 2026 3:08:36 p.m. PST",25431919491,Order,701-1373529-9261004,BUNDLE-10RS-5,"LA PETITE OURSE 10 One Size Printed Snap Cloth Diaper With 20 4-Layer Premium Bamboo Inserts, for Babies Weighing 10-35 Pounds - Black and White",1,amazon.ca,Amazon,Winnipeg,Manitoba,R3N 1N,Combined TCS+MTC,170,60,8.5,0,0,0,0,0,0,0,0,-8.5,-25.5,-13.07,0,0,131.43,Released,"Jan 20, 2026 6:26:24 a.m. PST"
"Jan 10, 2026 6:47:23 p.m. PST",25431919491,Order,702-8671435-8277028,BUNDLE-10RS-5,"LA PETITE OURSE 10 One Size Printed Snap Cloth Diaper With 20 4-Layer Premium Bamboo Inserts, for Babies Weighing 10-35 Pounds - Black and White",1,amazon.ca,Amazon,ROSEMERE,Quebec,J7A 4T,Combined TCS+MTC,170,60,8.5,5.9,0,0,0,0,0,-5.9,0,-8.5,-25.5,-13.07,0,0,131.43,Released,"Jan 19, 2026 3:36:33 a.m. PST"
"Jan 11, 2026 9:56:47 a.m. PST",25431919491,Order,702-9752404-4461066,BUNDLE-10RS-5,"LA PETITE OURSE 10 One Size Printed Snap Cloth Diaper With 20 4-Layer Premium Bamboo Inserts, for Babies Weighing 10-35 Pounds - Black and White",1,amazon.ca,Amazon,victoria,British Columbia,V8Y 2Y,Combined TCS+MTC,170,60,8.5,0,0,0,0,0,0,0,0,-8.5,-25.5,-13.07,0,0,131.43,Released,"Jan 20, 2026 10:58:43 p.m. PST"
